family_id,run_id,comparison_id,metric_order,metric_id,old_p_raw,old_p_adjusted,old_adjusted_p_display,old_adjusted_significant,new_p_raw,new_p_adjusted,new_adjusted_p_display,new_adjusted_significant,raw_p_identical,adjusted_p_identical,adjusted_p_delta,adjusted_display_identical,adjusted_conclusion_identical,decision_id,r_version
H08-F1-main-near-eye-average,main__glasses__all_available,average_vlsq,2,m10_mean_medi,0.07112849616555236,0.16003911637249282,0.160,FALSE,0.07112849616555236,0.16003911637249282,0.160,FALSE,TRUE,TRUE,0,TRUE,TRUE,METRIC-011,4.6.1
H08-F1-main-near-eye-average,main__glasses__all_available,average_vlsq,3,l10_mean_medi,0.6120315397436621,0.6885354822116199,0.689,FALSE,0.6120315397417553,0.6885354822094747,0.689,FALSE,FALSE,FALSE,-2.1451729281807275e-12,TRUE,TRUE,METRIC-011,4.6.1
H08-F1-main-near-eye-average,main__glasses__all_available,average_vlsq,4,duration_above_1000,0.0555646038967069,0.16003911637249282,0.160,FALSE,0.0555646038967069,0.16003911637249282,0.160,FALSE,TRUE,TRUE,0,TRUE,TRUE,METRIC-011,4.6.1
H08-F1-main-near-eye-average,main__glasses__all_available,average_vlsq,5,duration_above_250_wake,0.06332820679186438,0.16003911637249282,0.160,FALSE,0.06332820679186438,0.16003911637249282,0.160,FALSE,TRUE,TRUE,0,TRUE,TRUE,METRIC-011,4.6.1
H08-F1-main-near-eye-average,main__glasses__all_available,average_vlsq,6,duration_below_10_pre_sleep,0.3278832078638515,0.4215641243963805,0.422,FALSE,0.3278832078638515,0.4215641243963805,0.422,FALSE,TRUE,TRUE,0,TRUE,TRUE,METRIC-011,4.6.1
H08-F1-main-near-eye-average,main__glasses__all_available,average_vlsq,7,duration_below_1_sleep_environment,0.902507450654676,0.902507450654676,0.903,FALSE,0.902507450654676,0.902507450654676,0.903,FALSE,TRUE,TRUE,0,TRUE,TRUE,METRIC-011,4.6.1
H08-F1-main-near-eye-average,main__glasses__all_available,average_vlsq,8,longest_bout_above_250,0.09289129794450554,0.16720433630010997,0.167,FALSE,0.09289129794450554,0.16720433630010997,0.167,FALSE,TRUE,TRUE,0,TRUE,TRUE,METRIC-011,4.6.1
H08-F1-main-near-eye-average,main__glasses__all_available,average_vlsq,9,dose_time_sensitive_corrected_medi,0.05104109636931947,0.16003911637249282,0.160,FALSE,0.05104109636931947,0.16003911637249282,0.160,FALSE,TRUE,TRUE,0,TRUE,TRUE,METRIC-011,4.6.1
H08-F2-main-near-eye-heterogeneity,main__glasses__all_available,site_heterogeneity,1,daily_geometric_mean_medi,0.5741540030886528,0.8127974320298277,0.813,FALSE,0.5741540030886528,0.8127974320298277,0.813,FALSE,TRUE,TRUE,0,TRUE,TRUE,METRIC-011,4.6.1
H08-F2-main-near-eye-heterogeneity,main__glasses__all_available,site_heterogeneity,2,m10_mean_medi,0.28353015300938633,0.8127974320298277,0.813,FALSE,0.28353015300938633,0.8127974320298277,0.813,FALSE,TRUE,TRUE,0,TRUE,TRUE,METRIC-011,4.6.1
H08-F2-main-near-eye-heterogeneity,main__glasses__all_available,site_heterogeneity,3,l10_mean_medi,0.4070301129408082,0.8127974320298277,0.813,FALSE,0.40703011294102914,0.8127974320298277,0.813,FALSE,FALSE,TRUE,0,TRUE,TRUE,METRIC-011,4.6.1
H08-F2-main-near-eye-heterogeneity,main__glasses__all_available,site_heterogeneity,4,duration_above_1000,0.34528410452711034,0.8127974320298277,0.813,FALSE,0.34528410452711034,0.8127974320298277,0.813,FALSE,TRUE,TRUE,0,TRUE,TRUE,METRIC-011,4.6.1
H08-F2-main-near-eye-heterogeneity,main__glasses__all_available,site_heterogeneity,5,duration_above_250_wake,0.8516137954894298,0.8516137954894298,0.852,FALSE,0.8516137954894298,0.8516137954894298,0.852,FALSE,TRUE,TRUE,0,TRUE,TRUE,METRIC-011,4.6.1
H08-F2-main-near-eye-heterogeneity,main__glasses__all_available,site_heterogeneity,6,duration_below_10_pre_sleep,0.0797576913280484,0.7178192219524356,0.718,FALSE,0.0797576913280484,0.7178192219524356,0.718,FALSE,TRUE,TRUE,0,TRUE,TRUE,METRIC-011,4.6.1
H08-F2-main-near-eye-heterogeneity,main__glasses__all_available,site_heterogeneity,7,duration_below_1_sleep_environment,0.6321757804676437,0.8127974320298277,0.813,FALSE,0.6321757804676437,0.8127974320298277,0.813,FALSE,TRUE,TRUE,0,TRUE,TRUE,METRIC-011,4.6.1
H08-F2-main-near-eye-heterogeneity,main__glasses__all_available,site_heterogeneity,8,longest_bout_above_250,0.7480480326179234,0.8415540366951638,0.842,FALSE,0.7480480326179234,0.8415540366951638,0.842,FALSE,TRUE,TRUE,0,TRUE,TRUE,METRIC-011,4.6.1
H08-F2-main-near-eye-heterogeneity,main__glasses__all_available,site_heterogeneity,9,dose_time_sensitive_corrected_medi,0.5120589625640536,0.8127974320298277,0.813,FALSE,0.5120589625640536,0.8127974320298277,0.813,FALSE,TRUE,TRUE,0,TRUE,TRUE,METRIC-011,4.6.1
