path,sha256_before,bytes_before,sha256_after,bytes_after,transition,producer,r_version
artifacts/08_diagnostics/H01/H01_model_diagnostics.csv,240940aeaea41141788d401dfbd86a79d70ecb5d71aeb7a654d53ea8bc9bb34e,53769,eae7ae0492a45f3b945005aeb2aa321edd0c2f4c7f1842048866aa2d8ccfb262,53456,METRIC-010_ACTIVE_AGGREGATE_RESEAL,scripts/hypotheses/H01/reseal_h01_mder_METRIC010_bootstrap_manifest.R,4.6.1
artifacts/08_diagnostics/H01/H01_r2_bootstrap_audit.csv,dc229b82c5a27747c477c00aa7f8452d94e2e97905d1a9d54960b875a6347ac1,28867,45f69668378faadf6735d50f725e4756e7f30c8e6fd3b0599ebfbdb7bcfaf8bb,28891,METRIC-010_ACTIVE_AGGREGATE_RESEAL,scripts/hypotheses/H01/reseal_h01_mder_METRIC010_bootstrap_manifest.R,4.6.1
artifacts/08_diagnostics/H01/H01_r2_bootstrap_failures.csv,3ef9b2addf8886a661f76574dfa949610f8a0e2ce8d8e45972d676ca956cc464,14355,e5d7ae9112a190f07ee510bf8873c797e014423486e1bc26863515b7a79572db,14093,METRIC-010_ACTIVE_AGGREGATE_RESEAL,scripts/hypotheses/H01/reseal_h01_mder_METRIC010_bootstrap_manifest.R,4.6.1
artifacts/09_tables/H01/H01_r2_bootstrap_summaries.csv,2931a04ed49fb361677fae344ce5ca528f10a8b839ecbacf7bc6bfe40c19bf2e,357997,5b7d45f2944608fe0d50c49b9a7c5007cf9c1124255a36d2a379b37a97ba6d3a,358133,METRIC-010_ACTIVE_AGGREGATE_RESEAL,scripts/hypotheses/H01/reseal_h01_mder_METRIC010_bootstrap_manifest.R,4.6.1
artifacts/09_tables/H01/H01_r2_point_summaries.csv,4d96eefa925a77506faaf4adea0804112e8a5a0fabd15c0c66931efc29c2b24f,52207,8c7964645c52051abcd8eaba9ca109641171f235a735ee29b664ee0068bc559a,51941,METRIC-010_ACTIVE_AGGREGATE_RESEAL,scripts/hypotheses/H01/reseal_h01_mder_METRIC010_bootstrap_manifest.R,4.6.1
