run_id,reference_estimate,relative_change,diagnostic_scope,deleted_level,deleted_site,deleted_participant,summary_id,deletion_estimate
main__glasses__all_available,0.1998617481685216,0.044087981430216985,conditional deletion from fitted contributions; the GAMM was not refitted,site,RISE,,participant_plus_day_variation,0.20867324921038607
main__glasses__all_available,1.7971848105058097,0.12479734632643205,conditional deletion from fitted contributions; the GAMM was not refitted,site,RISE,,participant_to_site_ratio,2.0214687057151064
main__glasses__all_available,1.991074255603672,0.12490292993205278,conditional deletion from fitted contributions; the GAMM was not refitted,site,RISE,,participant_plus_day_to_site_ratio,2.2397652638408516
main__glasses__all_available,0.10037885207245859,0.1280071906017062,conditional deletion from fitted contributions; the GAMM was not refitted,site,THUAS,,site_curve_variation,0.11322806692207826
main__glasses__all_available,0.1803993482406322,0.01568717942038039,conditional deletion from fitted contributions; the GAMM was not refitted,site,THUAS,,participant_curve_variation,0.18322930518380268
main__glasses__all_available,0.019462399927889392,-0.15651604955616216,conditional deletion from fitted contributions; the GAMM was not refitted,site,THUAS,,participant_day_intercept_variation,0.01641622197629401
main__glasses__all_available,0.1998617481685216,-0.0010818528828367923,conditional deletion from fitted contributions; the GAMM was not refitted,site,THUAS,,participant_plus_day_variation,0.19964552716009668
main__glasses__all_available,1.7971848105058097,-0.09957384324953776,conditional deletion from fitted contributions; the GAMM was not refitted,site,THUAS,,participant_to_site_ratio,1.618232211894054
main__glasses__all_available,1.991074255603672,-0.11443991187297643,conditional deletion from fitted contributions; the GAMM was not refitted,site,THUAS,,participant_plus_day_to_site_ratio,1.7632158932598356
main__glasses__all_available,0.10037885207245859,-0.018328734238594078,conditional deletion from fitted contributions; the GAMM was not refitted,site,TUM,,site_curve_variation,0.09853903476964734
main__glasses__all_available,0.1803993482406322,-0.06747755647945718,conditional deletion from fitted contributions; the GAMM was not refitted,site,TUM,,participant_curve_variation,0.16822644103086767
main__glasses__all_available,0.019462399927889392,0.020502653436855776,conditional deletion from fitted contributions; the GAMM was not refitted,site,TUM,,participant_day_intercept_variation,0.019861430768660395
main__glasses__all_available,0.1998617481685216,-0.058910103993816236,conditional deletion from fitted contributions; the GAMM was not refitted,site,TUM,,participant_plus_day_variation,0.18808787179952807
main__glasses__all_available,1.7971848105058097,-0.05006647739937885,conditional deletion from fitted contributions; the GAMM was not refitted,site,TUM,,participant_to_site_ratio,1.7072060978081136
main__glasses__all_available,1.991074255603672,-0.0413390624444389,conditional deletion from fitted contributions; the GAMM was not refitted,site,TUM,,participant_plus_day_to_site_ratio,1.9087651126197571
main__glasses__all_available,0.10037885207245859,0.06746594802465228,conditional deletion from fitted contributions; the GAMM was not refitted,site,UCR,,site_curve_variation,0.10715100648915334
main__glasses__all_available,0.1803993482406322,0.024914526214536072,conditional deletion from fitted contributions; the GAMM was not refitted,site,UCR,,participant_curve_variation,0.18489391253145865
main__glasses__all_available,0.019462399927889392,0.07638452154481519,conditional deletion from fitted contributions; the GAMM was not refitted,site,UCR,,participant_day_intercept_variation,0.02094902603449507
main__glasses__all_available,0.1998617481685216,0.029926639050454156,conditional deletion from fitted contributions; the GAMM was not refitted,site,UCR,,participant_plus_day_variation,0.2058429385659537
main__glasses__all_available,1.7971848105058097,-0.03986208823696681,conditional deletion from fitted contributions; the GAMM was not refitted,site,UCR,,participant_to_site_ratio,1.7255452710112906
main__glasses__all_available,1.991074255603672,-0.03516675079300157,conditional deletion from fitted contributions; the GAMM was not refitted,site,UCR,,participant_plus_day_to_site_ratio,1.9210546434464966
main__glasses__all_available,0.10037885207245859,0,conditional deletion from fitted contributions; the GAMM was not refitted,participant,BAUA,BAUA::BAUA_S001,site_curve_variation,0.10037885207245859
main__glasses__all_available,0.1803993482406322,-0.0023396359290137254,conditional deletion from fitted contributions; the GAMM was not refitted,participant,BAUA,BAUA::BAUA_S001,participant_curve_variation,0.17997727944391775
main__glasses__all_available,0.019462399927889392,0.004917357303951736,conditional deletion from fitted contributions; the GAMM was not refitted,participant,BAUA,BAUA::BAUA_S001,participant_day_intercept_variation,0.01955810350232723
main__glasses__all_available,0.1998617481685216,-0.0016329549064157127,conditional deletion from fitted contributions; the GAMM was not refitted,participant,BAUA,BAUA::BAUA_S001,participant_plus_day_variation,0.19953538294624498
main__glasses__all_available,1.7971848105058097,-0.00233963592901366,conditional deletion from fitted contributions; the GAMM was not refitted,participant,BAUA,BAUA::BAUA_S001,participant_to_site_ratio,1.7929800523520727
main__glasses__all_available,1.991074255603672,-0.0016329549064157136,conditional deletion from fitted contributions; the GAMM was not refitted,participant,BAUA,BAUA::BAUA_S001,participant_plus_day_to_site_ratio,1.987822921128946
main__glasses__all_available,0.10037885207245859,0,conditional deletion from fitted contributions; the GAMM was not refitted,participant,BAUA,BAUA::BAUA_S002,site_curve_variation,0.10037885207245859
main__glasses__all_available,0.1803993482406322,-0.0014347876518971765,conditional deletion from fitted contributions; the GAMM was not refitted,participant,BAUA,BAUA::BAUA_S002,participant_curve_variation,0.18014051348336624
main__glasses__all_available,0.019462399927889392,0.006187982000383614,conditional deletion from fitted contributions; the GAMM was not refitted,participant,BAUA,BAUA::BAUA_S002,participant_day_intercept_variation,0.01958283290832744
main__glasses__all_available,0.1998617481685216,-6.924875725154703e-4,conditional deletion from fitted contributions; the GAMM was not refitted,participant,BAUA,BAUA::BAUA_S002,participant_plus_day_variation,0.19972334639169367
main__glasses__all_available,1.7971848105058097,-0.0014347876518971698,conditional deletion from fitted contributions; the GAMM was not refitted,participant,BAUA,BAUA::BAUA_S002,participant_to_site_ratio,1.7946062319315188
main__glasses__all_available,1.991074255603672,-6.92487572515479e-4,conditional deletion from fitted contributions; the GAMM was not refitted,participant,BAUA,BAUA::BAUA_S002,participant_plus_day_to_site_ratio,1.989695461425711
main__glasses__all_available,0.10037885207245859,0,conditional deletion from fitted contributions; the GAMM was not refitted,participant,BAUA,BAUA::BAUA_S003,site_curve_variation,0.10037885207245859
main__glasses__all_available,0.1803993482406322,9.648218487949426e-4,conditional deletion from fitted contributions; the GAMM was not refitted,participant,BAUA,BAUA::BAUA_S003,participant_curve_variation,0.18057340147332313
main__glasses__all_available,0.019462399927889392,0.002565607056651669,conditional deletion from fitted contributions; the GAMM was not refitted,participant,BAUA,BAUA::BAUA_S003,participant_day_intercept_variation,0.019512332798483762
main__glasses__all_available,0.1998617481685216,0.0011207052141685627,conditional deletion from fitted contributions; the GAMM was not refitted,participant,BAUA,BAUA::BAUA_S003,participant_plus_day_variation,0.2000857342718069
main__glasses__all_available,1.7971848105058097,9.648218487950198e-4,conditional deletion from fitted contributions; the GAMM was not refitted,participant,BAUA,BAUA::BAUA_S003,participant_to_site_ratio,1.7989187736773082
main__glasses__all_available,1.991074255603672,0.0011207052141685402,conditional deletion from fitted contributions; the GAMM was not refitted,participant,BAUA,BAUA::BAUA_S003,participant_plus_day_to_site_ratio,1.9933056629037238
main__glasses__all_available,0.10037885207245859,0,conditional deletion from fitted contributions; the GAMM was not refitted,participant,BAUA,BAUA::BAUA_S004,site_curve_variation,0.10037885207245859
main__glasses__all_available,0.1803993482406322,0.004029517562436705,conditional deletion from fitted contributions; the GAMM was not refitted,participant,BAUA,BAUA::BAUA_S004,participant_curve_variation,0.18112627058261996
main__glasses__all_available,0.019462399927889392,0.005990070369794234,conditional deletion from fitted contributions; the GAMM was not refitted,participant,BAUA,BAUA::BAUA_S004,participant_day_intercept_variation,0.019578981073022528
main__glasses__all_available,0.1998617481685216,0.004220434849842604,conditional deletion from fitted contributions; the GAMM was not refitted,participant,BAUA,BAUA::BAUA_S004,participant_plus_day_variation,0.20070525165564249
main__glasses__all_available,1.7971848105058097,0.004029517562436783,conditional deletion from fitted contributions; the GAMM was not refitted,participant,BAUA,BAUA::BAUA_S004,participant_to_site_ratio,1.8044265982626875
main__glasses__all_available,1.991074255603672,0.004220434849842618,conditional deletion from fitted contributions; the GAMM was not refitted,participant,BAUA,BAUA::BAUA_S004,participant_plus_day_to_site_ratio,1.9994774547806462
main__glasses__all_available,0.10037885207245859,0,conditional deletion from fitted contributions; the GAMM was not refitted,participant,BAUA,BAUA::BAUA_S005,site_curve_variation,0.10037885207245859
main__glasses__all_available,0.1803993482406322,0.0020300876842030695,conditional deletion from fitted contributions; the GAMM was not refitted,participant,BAUA,BAUA::BAUA_S005,participant_curve_variation,0.18076557473573376
main__glasses__all_available,0.019462399927889392,0.0020859517120268554,conditional deletion from fitted contributions; the GAMM was not refitted,participant,BAUA,BAUA::BAUA_S005,participant_day_intercept_variation,0.019502997554339124
main__glasses__all_available,0.1998617481685216,0.0020355276849088025,conditional deletion from fitted contributions; the GAMM was not refitted,participant,BAUA,BAUA::BAUA_S005,participant_plus_day_variation,0.2002685722900729
main__glasses__all_available,1.7971848105058097,0.0020300876842030977,conditional deletion from fitted contributions; the GAMM was not refitted,participant,BAUA,BAUA::BAUA_S005,participant_to_site_ratio,1.8008332532558544
main__glasses__all_available,1.991074255603672,0.0020355276849088194,conditional deletion from fitted contributions; the GAMM was not refitted,participant,BAUA,BAUA::BAUA_S005,participant_plus_day_to_site_ratio,1.9951271423736625
main__glasses__all_available,0.10037885207245859,0,conditional deletion from fitted contributions; the GAMM was not refitted,participant,BAUA,BAUA::BAUA_S006,site_curve_variation,0.10037885207245859
main__glasses__all_available,0.1803993482406322,0.001594594969185955,conditional deletion from fitted contributions; the GAMM was not refitted,participant,BAUA,BAUA::BAUA_S006,participant_curve_variation,0.18068701213378113
main__glasses__all_available,0.019462399927889392,-0.011179807455675853,conditional deletion from fitted contributions; the GAMM was not refitted,participant,BAUA,BAUA::BAUA_S006,participant_day_intercept_variation,0.01924481404407023
main__glasses__all_available,0.1998617481685216,3.506324245231321e-4,conditional deletion from fitted contributions; the GAMM was not refitted,participant,BAUA,BAUA::BAUA_S006,participant_plus_day_variation,0.19993182617785135
main__glasses__all_available,1.7971848105058097,0.0015945949691860617,conditional deletion from fitted contributions; the GAMM was not refitted,participant,BAUA,BAUA::BAUA_S006,participant_to_site_ratio,1.8000505923633399
main__glasses__all_available,1.991074255603672,3.50632424523139e-4,conditional deletion from fitted contributions; the GAMM was not refitted,participant,BAUA,BAUA::BAUA_S006,participant_plus_day_to_site_ratio,1.99177239079732
main__glasses__all_available,0.10037885207245859,0,conditional deletion from fitted contributions; the GAMM was not refitted,participant,BAUA,BAUA::BAUA_S007,site_curve_variation,0.10037885207245859
main__glasses__all_available,0.1803993482406322,-0.004089812593911788,conditional deletion from fitted contributions; the GAMM was not refitted,participant,BAUA,BAUA::BAUA_S007,participant_curve_variation,0.17966154871426418
main__glasses__all_available,0.019462399927889392,0.007134510372303318,conditional deletion from fitted contributions; the GAMM was not refitted,participant,BAUA,BAUA::BAUA_S007,participant_day_intercept_variation,0.019601254622044834
main__glasses__all_available,0.1998617481685216,-0.002996795723549571,conditional deletion from fitted contributions; the GAMM was not refitted,participant,BAUA,BAUA::BAUA_S007,participant_plus_day_variation,0.19926280333630902
main__glasses__all_available,1.7971848105058097,-0.0040898125939117045,conditional deletion from fitted contributions; the GAMM was not refitted,participant,BAUA,BAUA::BAUA_S007,participant_to_site_ratio,1.7898346614342162
main__glasses__all_available,1.991074255603672,-0.002996795723549608,conditional deletion from fitted contributions; the GAMM was not refitted,participant,BAUA,BAUA::BAUA_S007,participant_plus_day_to_site_ratio,1.9851074127892092
main__glasses__all_available,0.10037885207245859,0,conditional deletion from fitted contributions; the GAMM was not refitted,participant,BAUA,BAUA::BAUA_S009,site_curve_variation,0.10037885207245859
main__glasses__all_available,0.1803993482406322,-0.0018225811100718197,conditional deletion from fitted contributions; the GAMM was not refitted,participant,BAUA,BAUA::BAUA_S009,participant_curve_variation,0.18007055579625955
main__glasses__all_available,0.019462399927889392,-0.01567223989792881,conditional deletion from fitted contributions; the GAMM was not refitted,participant,BAUA,BAUA::BAUA_S009,participant_day_intercept_variation,0.019157380527230077
main__glasses__all_available,0.1998617481685216,-0.0031712513817178695,conditional deletion from fitted contributions; the GAMM was not refitted,participant,BAUA,BAUA::BAUA_S009,participant_plus_day_variation,0.19922793632348962
main__glasses__all_available,1.7971848105058097,-0.001822581110071706,conditional deletion from fitted contributions; the GAMM was not refitted,participant,BAUA,BAUA::BAUA_S009,participant_to_site_ratio,1.793909295418874
main__glasses__all_available,1.991074255603672,-0.00317125138171786,conditional deletion from fitted contributions; the GAMM was not refitted,participant,BAUA,BAUA::BAUA_S009,participant_plus_day_to_site_ratio,1.984760058619486
main__glasses__all_available,0.10037885207245859,0,conditional deletion from fitted contributions; the GAMM was not refitted,participant,BAUA,BAUA::BAUA_S011,site_curve_variation,0.10037885207245859
main__glasses__all_available,0.1803993482406322,-0.004674937302548293,conditional deletion from fitted contributions; the GAMM was not refitted,participant,BAUA,BAUA::BAUA_S011,participant_curve_variation,0.17955599259818666
main__glasses__all_available,0.019462399927889392,0.007336812000567346,conditional deletion from fitted contributions; the GAMM was not refitted,participant,BAUA,BAUA::BAUA_S011,participant_day_intercept_variation,0.019605191897240172
main__glasses__all_available,0.1998617481685216,-0.0035052413956874473,conditional deletion from fitted contributions; the GAMM was not refitted,participant,BAUA,BAUA::BAUA_S011,participant_plus_day_variation,0.19916118449542683
main__glasses__all_available,1.7971848105058097,-0.0046749373025482665,conditional deletion from fitted contributions; the GAMM was not refitted,participant,BAUA,BAUA::BAUA_S011,participant_to_site_ratio,1.788783084195603
main__glasses__all_available,1.991074255603672,-0.003505241395687427,conditional deletion from fitted contributions; the GAMM was not refitted,participant,BAUA,BAUA::BAUA_S011,participant_plus_day_to_site_ratio,1.9840950597010425
main__glasses__all_available,0.10037885207245859,0,conditional deletion from fitted contributions; the GAMM was not refitted,participant,BAUA,BAUA::BAUA_S012,site_curve_variation,0.10037885207245859
main__glasses__all_available,0.1803993482406322,-8.58598164243004e-4,conditional deletion from fitted contributions; the GAMM was not refitted,participant,BAUA,BAUA::BAUA_S012,participant_curve_variation,0.18024445769140215
main__glasses__all_available,0.019462399927889392,-0.025959404890999606,conditional deletion from fitted contributions; the GAMM was not refitted,participant,BAUA,BAUA::BAUA_S012,participant_day_intercept_variation,0.01895716760801075
main__glasses__all_available,0.1998617481685216,-0.003302897503688787,conditional deletion from fitted contributions; the GAMM was not refitted,participant,BAUA,BAUA::BAUA_S012,participant_plus_day_variation,0.1992016252994129
main__glasses__all_available,1.7971848105058097,-8.585981642428926e-4,conditional deletion from fitted contributions; the GAMM was not refitted,participant,BAUA,BAUA::BAUA_S012,participant_to_site_ratio,1.7956417509267042
main__glasses__all_available,1.991074255603672,-0.003302897503688722,conditional deletion from fitted contributions; the GAMM was not refitted,participant,BAUA,BAUA::BAUA_S012,participant_plus_day_to_site_ratio,1.9844979414151798
main__glasses__all_available,0.10037885207245859,0,conditional deletion from fitted contributions; the GAMM was not refitted,participant,BAUA,BAUA::BAUA_S013,site_curve_variation,0.10037885207245859
main__glasses__all_available,0.1803993482406322,0.006530892722685501,conditional deletion from fitted contributions; the GAMM was not refitted,participant,BAUA,BAUA::BAUA_S013,participant_curve_variation,0.18157751703123415
main__glasses__all_available,0.019462399927889392,0.005712251880869224,conditional deletion from fitted contributions; the GAMM was not refitted,participant,BAUA,BAUA::BAUA_S013,participant_day_intercept_variation,0.019573574058483707
main__glasses__all_available,0.1998617481685216,0.006451174039111751,conditional deletion from fitted contributions; the GAMM was not refitted,participant,BAUA,BAUA::BAUA_S013,participant_plus_day_variation,0.20115109108971785
main__glasses__all_available,1.7971848105058097,0.006530892722685512,conditional deletion from fitted contributions; the GAMM was not refitted,participant,BAUA,BAUA::BAUA_S013,participant_to_site_ratio,1.808922031706063
