"check","observed","expected","status"
"summary post hash equals final HTML","15c537269ac0be96ce06c6b574946dc0b98d46afe36c3c696f804a216a7d0c76","15c537269ac0be96ce06c6b574946dc0b98d46afe36c3c696f804a216a7d0c76","PASS"
"reverse hash equals pre-hook hash","73ee70c0f080d16ac9d6c8cd9f3b1427e1ff7791f0bb74542006359925aad968","73ee70c0f080d16ac9d6c8cd9f3b1427e1ff7791f0bb74542006359925aad968","PASS"
"forward reapplication equals final HTML","15c537269ac0be96ce06c6b574946dc0b98d46afe36c3c696f804a216a7d0c76","15c537269ac0be96ce06c6b574946dc0b98d46afe36c3c696f804a216a7d0c76","PASS"
"ledger row count equals summary substitutions","818","818","PASS"
"ledger IDs equal summary ID count","113","113","PASS"
"ledger headers equal summary headers count","705","705","PASS"
