"frame_id","placement","sample_scenario","metric_id","instrument_id","current_rows","stored_rows","current_row_key_hash","stored_row_key_hash","current_model_frame_hash","stored_model_frame_hash","rows_exact","row_keys_exact","model_values_exact","complete_frame_exact","status"
"gap__glasses__gap_common__mean_timing_above_250__MCTQ","glasses","gap_common","mean_timing_above_250","MCTQ",731,731,"a5b9fb18fa9a429e4ff1b158c61861a886fc029e41a81c4bf468ea425c49381e","a5b9fb18fa9a429e4ff1b158c61861a886fc029e41a81c4bf468ea425c49381e","f694222f19978de7389a028a6110d416891d7843048f0ed4c31e0ca2fe89c7d6","f694222f19978de7389a028a6110d416891d7843048f0ed4c31e0ca2fe89c7d6",TRUE,TRUE,TRUE,TRUE,"PASS"
"gap__glasses__gap_common__mean_timing_above_250__MEQ","glasses","gap_common","mean_timing_above_250","MEQ",737,737,"eadfb1cdd333fadee16969bc3c69d391dccecb3bf78271737400695e8684a28f","eadfb1cdd333fadee16969bc3c69d391dccecb3bf78271737400695e8684a28f","2815d4e2758b891ff2d77bc01cf6af0261e67c874fd985995884bf01c9df4bd7","2815d4e2758b891ff2d77bc01cf6af0261e67c874fd985995884bf01c9df4bd7",TRUE,TRUE,TRUE,TRUE,"PASS"
"gap__chest__gap_common__first_timing_above_250__MCTQ","chest","gap_common","first_timing_above_250","MCTQ",790,790,"bd878ca16ec6a996c45cda4fa037513d022acd937d57938831664c30968eff4e","bd878ca16ec6a996c45cda4fa037513d022acd937d57938831664c30968eff4e","1ba35b93cd950019e4c2fd26b102b7a6353767dd2c00740092f47c2be553899b","1ba35b93cd950019e4c2fd26b102b7a6353767dd2c00740092f47c2be553899b",TRUE,TRUE,TRUE,TRUE,"PASS"
"gap__chest__gap_common__first_timing_above_250__MEQ","chest","gap_common","first_timing_above_250","MEQ",795,795,"ff11d1b1b98f7a613f83b2b9e0f0e9accfa35b083a70d3be1a4ff3e1abe08836","ff11d1b1b98f7a613f83b2b9e0f0e9accfa35b083a70d3be1a4ff3e1abe08836","62833d9166da294afef443d4a7ca40b7e00b0a09c48c88701b73f48d535a381e","62833d9166da294afef443d4a7ca40b7e00b0a09c48c88701b73f48d535a381e",TRUE,TRUE,TRUE,TRUE,"PASS"
"gap__chest__gap_common__l10_midpoint__MCTQ","chest","gap_common","l10_midpoint","MCTQ",888,888,"2ebaf57320098f8e0a7807df5caa2be267d091cbd663b6d5e1962bd7e1df61ff","2ebaf57320098f8e0a7807df5caa2be267d091cbd663b6d5e1962bd7e1df61ff","adefe24a7d62479d9205cc64e24b0d7caba6cb320f33b5a1bc9f6342420fb944","adefe24a7d62479d9205cc64e24b0d7caba6cb320f33b5a1bc9f6342420fb944",TRUE,TRUE,TRUE,TRUE,"PASS"
"gap__chest__gap_common__l10_midpoint__MEQ","chest","gap_common","l10_midpoint","MEQ",894,894,"2cee4640c326c8cfbfdef4a671ab7297af3d83c19f9ef732773f6f7fbe9b6e8d","2cee4640c326c8cfbfdef4a671ab7297af3d83c19f9ef732773f6f7fbe9b6e8d","a396ed4ad3f617e4365633bed9200b6b5fe1486310f5899d5b46e6a15847f841","a396ed4ad3f617e4365633bed9200b6b5fe1486310f5899d5b46e6a15847f841",TRUE,TRUE,TRUE,TRUE,"PASS"
"gap__chest__gap_common__last_timing_above_250__MCTQ","chest","gap_common","last_timing_above_250","MCTQ",780,780,"94460b120e4ee73233c7f11d5cc4c0f5018c01333bd132b9c79c0068f8c88ce5","94460b120e4ee73233c7f11d5cc4c0f5018c01333bd132b9c79c0068f8c88ce5","bdca5166176067770d4c719039603099688277ebea6d131909f2e3f1b38ca3f0","bdca5166176067770d4c719039603099688277ebea6d131909f2e3f1b38ca3f0",TRUE,TRUE,TRUE,TRUE,"PASS"
"gap__chest__gap_common__last_timing_above_250__MEQ","chest","gap_common","last_timing_above_250","MEQ",784,784,"eda77b9db4bb5622a0ec2c345250f37a5a0e61559609c9596d47c7bd66045281","eda77b9db4bb5622a0ec2c345250f37a5a0e61559609c9596d47c7bd66045281","00c92341e5cd17ce3bf296cdb9796fcb5a74245fa6af87bb0cdc041674b36f92","00c92341e5cd17ce3bf296cdb9796fcb5a74245fa6af87bb0cdc041674b36f92",TRUE,TRUE,TRUE,TRUE,"PASS"
"gap__chest__gap_common__m10_midpoint__MCTQ","chest","gap_common","m10_midpoint","MCTQ",888,888,"2ebaf57320098f8e0a7807df5caa2be267d091cbd663b6d5e1962bd7e1df61ff","2ebaf57320098f8e0a7807df5caa2be267d091cbd663b6d5e1962bd7e1df61ff","484c26bfca14a8545cd7ff240e126d030247ce56986e390d648bb59b9d39dad9","484c26bfca14a8545cd7ff240e126d030247ce56986e390d648bb59b9d39dad9",TRUE,TRUE,TRUE,TRUE,"PASS"
"gap__chest__gap_common__m10_midpoint__MEQ","chest","gap_common","m10_midpoint","MEQ",894,894,"2cee4640c326c8cfbfdef4a671ab7297af3d83c19f9ef732773f6f7fbe9b6e8d","2cee4640c326c8cfbfdef4a671ab7297af3d83c19f9ef732773f6f7fbe9b6e8d","ac20ec6ec893a92b00cf6a0baf8fb345a56f67172f16c3ce29e01aa015c83031","ac20ec6ec893a92b00cf6a0baf8fb345a56f67172f16c3ce29e01aa015c83031",TRUE,TRUE,TRUE,TRUE,"PASS"
"gap__chest__gap_common__mean_timing_above_250__MCTQ","chest","gap_common","mean_timing_above_250","MCTQ",820,820,"1f30ceb6bc2a922a21221726223558028b26e3e4f2cf40a328fb72abd978d14d","1f30ceb6bc2a922a21221726223558028b26e3e4f2cf40a328fb72abd978d14d","3b2fb23c229cf16e498ba961eacd474d8e4d61fc967ac60004a1059887b8f976","3b2fb23c229cf16e498ba961eacd474d8e4d61fc967ac60004a1059887b8f976",TRUE,TRUE,TRUE,TRUE,"PASS"
"gap__chest__gap_common__mean_timing_above_250__MEQ","chest","gap_common","mean_timing_above_250","MEQ",826,826,"87ef17555413757cf826458620604588bedab24644f07355046790662734023e","87ef17555413757cf826458620604588bedab24644f07355046790662734023e","a61b8644b874cb7d84338b57b72917dd4f687a37b1cf7c81f0a5cd38dbae0117","a61b8644b874cb7d84338b57b72917dd4f687a37b1cf7c81f0a5cd38dbae0117",TRUE,TRUE,TRUE,TRUE,"PASS"
