run_id,placement,bin,observations,fitted_mean_lx,observed_zero_fraction,working_zero_fraction
reader_temporal_raw_mean__near_eye,Near-eye,1,1794,0.008091862366569164,0.9804905239687849,0.9782068608451546
reader_temporal_raw_mean__near_eye,Near-eye,2,1794,0.0741977433821737,0.899108138238573,0.9396062995204405
reader_temporal_raw_mean__near_eye,Near-eye,3,1794,0.7229065062624132,0.5568561872909699,0.8392306120576797
reader_temporal_raw_mean__near_eye,Near-eye,4,1794,4.520772120338774,0.19342251950947603,0.6572869878692613
reader_temporal_raw_mean__near_eye,Near-eye,5,1794,14.342883249550258,0.06633221850613155,0.4849967740026339
reader_temporal_raw_mean__near_eye,Near-eye,6,1793,34.55733234505291,0.029001673173452314,0.33691597519716787
reader_temporal_raw_mean__near_eye,Near-eye,7,1793,73.52895671896184,0.023982152816508645,0.21408268589233773
reader_temporal_raw_mean__near_eye,Near-eye,8,1793,142.93705355930115,0.009481316229782488,0.12308249856894682
reader_temporal_raw_mean__near_eye,Near-eye,9,1793,273.1012971711325,0.010596765197992191,0.06073805318737945
reader_temporal_raw_mean__near_eye,Near-eye,10,1793,1222.90870768739,0.0050195203569436695,0.013623634963245344
reader_temporal_raw_mean__chest,Chest,1,1952,0.006412808239127184,0.9748975409836066,0.9849274070849925
reader_temporal_raw_mean__chest,Chest,2,1952,0.0710016281856227,0.8714139344262295,0.952250986955702
reader_temporal_raw_mean__chest,Chest,3,1951,0.8229070832578812,0.5233213736545361,0.8610455393508452
reader_temporal_raw_mean__chest,Chest,4,1951,4.858953708228531,0.21014864172219375,0.7032537227307704
reader_temporal_raw_mean__chest,Chest,5,1951,14.783252062101269,0.0902101486417222,0.5517169800335046
reader_temporal_raw_mean__chest,Chest,6,1951,34.950709234664195,0.04613018964633521,0.41280359464482375
reader_temporal_raw_mean__chest,Chest,7,1951,72.65074186656143,0.0292157867760123,0.28916256850023464
reader_temporal_raw_mean__chest,Chest,8,1951,136.55185495207166,0.013839056893900564,0.19013802722603365
reader_temporal_raw_mean__chest,Chest,9,1951,266.0370828913154,0.007688364941055869,0.10647531570478504
reader_temporal_raw_mean__chest,Chest,10,1951,1380.5837643457135,0.0046130189646335215,0.02712395761214539
