"check","pre_value","post_value","status"
"normalized DOM excluding repaired gt attributes","52760b9a0679209f5d807773465d3e58325f5ba0091ff612359c39b17f5186b5","52760b9a0679209f5d807773465d3e58325f5ba0091ff612359c39b17f5186b5","PASS"
"whole-document visible text","8cb37ded9f50a584b6b0c3345046faf3197cbbd20982189f6349cc6dd73b6418","8cb37ded9f50a584b6b0c3345046faf3197cbbd20982189f6349cc6dd73b6418","PASS"
"main visible text and values","850dd65a7d1c6f564e65f99695ee064bc556006c35695996d9032ca448380e7a","850dd65a7d1c6f564e65f99695ee064bc556006c35695996d9032ca448380e7a","PASS"
"element tag sequence","6caeb761fc27f562cf7bb168defce7b302ca7917cbfee7e10e1112f3edfbe5a4","6caeb761fc27f562cf7bb168defce7b302ca7917cbfee7e10e1112f3edfbe5a4","PASS"
"link target sequence","135eb78b1b3a630bb59eb5d463ae57994292fedd478f7fadfa9c573e49fc54af","135eb78b1b3a630bb59eb5d463ae57994292fedd478f7fadfa9c573e49fc54af","PASS"
"caption sequence","2d861507c8f8417a1becd6f9d293097a4f5d7ad5806e56ae9220de787b4493e8","2d861507c8f8417a1becd6f9d293097a4f5d7ad5806e56ae9220de787b4493e8","PASS"
"source-note sequence","5fa630eda546dfe1c0698c6dcf95d390a777b7e19d5ac0f37d0a36ae46cc4d31","5fa630eda546dfe1c0698c6dcf95d390a777b7e19d5ac0f37d0a36ae46cc4d31","PASS"
