run_id,data_scenario_id,placement,sample_scenario,analytical_role,metric_order,metric_id,analysis_unit,response_family,response_transform,random_site_sd,random_site_singular,fixed_site_aic,random_site_aic,random_minus_fixed_aic,status
main__chest__paired_common_sample,main,chest,paired_common_sample,paired_placement_comparison,12,l10_midpoint,participant_day,gaussian,clock_hours_midnight_after_16,0.5041394178495209,FALSE,2452.425075035691,2461.4322251406984,9.00715010500744,DESCRIPTIVE_PASS
main__chest__paired_common_sample,main,chest,paired_common_sample,paired_placement_comparison,13,mean_timing_above_250,participant_day,gaussian,clock_hours,0.8518790141780528,FALSE,2234.7262947911822,2251.332458954061,16.60616416287894,DESCRIPTIVE_PASS
main__chest__paired_common_sample,main,chest,paired_common_sample,paired_placement_comparison,14,first_timing_above_250,participant_day,gaussian,clock_hours,0.5586483801604509,FALSE,2437.748642287898,2443.1330382576407,5.3843959697428545,DESCRIPTIVE_PASS
main__chest__paired_common_sample,main,chest,paired_common_sample,paired_placement_comparison,15,last_timing_above_250,participant_day,gaussian,clock_hours,0.7728316251145559,FALSE,2210.0367973754182,2222.262011715117,12.225214339698596,DESCRIPTIVE_PASS
main__chest__paired_common_sample,main,chest,paired_common_sample,paired_placement_comparison,16,dose_time_sensitive_corrected_medi,participant_day,gaussian,log10_offset_0.1,0.10189893593164784,FALSE,1197.6031101561125,1200.5977780943767,2.994667938264456,DESCRIPTIVE_PASS
main__glasses__all_available,main,glasses,all_available,primary,1,interdaily_stability,participant,gaussian,logit,,,168.0394573924686,,,NON_ESTIMABLE
main__glasses__all_available,main,glasses,all_available,primary,2,intradaily_variability,participant,gaussian,identity,,,146.22243464159482,,,NON_ESTIMABLE
main__glasses__all_available,main,glasses,all_available,primary,3,daily_geometric_mean_medi,participant_day,gaussian,log10_offset_0.1,0.11290074298725863,FALSE,560.9531684654917,566.7781176077683,5.824949142276637,DESCRIPTIVE_PASS
main__glasses__all_available,main,glasses,all_available,primary,4,m10_mean_medi,participant_day,gaussian,log10_offset_0.1,0.13134772412625476,FALSE,1395.3820078601575,1398.6763714694898,3.294363609332322,DESCRIPTIVE_PASS
main__glasses__all_available,main,glasses,all_available,primary,5,l10_mean_medi,participant_day,gaussian,log10_offset_0.1,0.1132050701020701,FALSE,72.14492596247523,80.99867395161174,8.853747989136508,DESCRIPTIVE_PASS
main__glasses__all_available,main,glasses,all_available,primary,6,duration_above_1000,participant_day,tweedie_log,identity,,FALSE,2229.36215536414,2230.630437052163,1.268281688022853,DESCRIPTIVE_PASS
main__glasses__all_available,main,glasses,all_available,primary,7,duration_above_250_wake,participant_day,tweedie_log,identity,,FALSE,3024.8247444948443,3028.8254469569647,4.000702462120444,DESCRIPTIVE_PASS
