run_id,model_role,participant_key,observations,score_energy,score_share,leverage,leverage_share,score_rank,leverage_rank
main__glasses__all_available,additive,BAUA::BAUA_S012,131,5900.678115236897,0.3649914897788647,0.11007774244406462,0.009173145203672116,1,33
main__glasses__all_available,additive,BAUA::BAUA_S009,140,2443.982938778048,0.15117465423428114,0.1252618479730153,0.01043848733108468,2,19
main__glasses__all_available,additive,RISE::RISE_S012,168,1462.8621195855694,0.09048658712460013,0.17134397820022781,0.014278664850019085,3,6
main__glasses__all_available,additive,RISE::RISE_S002,141,570.9742530664668,0.03531810059490721,0.17367729629966394,0.014473108024972096,4,5
main__glasses__all_available,additive,MPI::MPI_S204,118,559.3196879083308,0.03459719750263235,0.050941269688900344,0.004245105807408392,5,119
main__glasses__all_available,additive,RISE::RISE_S010,113,320.4846014150205,0.019823849028402354,0.09709089539705536,0.008090907949754669,6,51
main__glasses__all_available,additive,BAUA::BAUA_S011,120,270.0556750518524,0.016704524672492723,0.09752500917945357,0.008127084098287855,7,49
main__glasses__all_available,additive,MPI::MPI_S201,91,264.75599007383573,0.016376708127053635,0.04097408458745752,0.003414507048954817,8,128
main__glasses__all_available,additive,BAUA::BAUA_S003,120,254.93957987722644,0.015769505681509456,0.10000911146892467,0.008334092622410447,9,45
main__glasses__all_available,additive,BAUA::BAUA_S024,141,217.94006242987302,0.013480868895961555,0.10769626430259698,0.008974688691883144,10,36
main__glasses__all_available,additive,RISE::RISE_S001,139,185.34396006822325,0.01146460911537102,0.1331275427808351,0.011093961898403002,11,16
main__glasses__all_available,additive,BAUA::BAUA_S016,134,179.35982957413322,0.011094455607348092,0.09244688258257404,0.007703906881881223,12,56
main__glasses__all_available,additive,THUAS::THUAS_S003,94,164.78802026879964,0.010193103884163357,0.10781805004835703,0.008984837504029815,13,35
main__glasses__all_available,additive,THUAS::THUAS_S006,117,141.0267040814217,0.00872332735594656,0.11367778055150196,0.009473148379291895,14,29
main__glasses__all_available,additive,THUAS::THUAS_S018,108,123.28133423717803,0.00762567233229723,0.09144515343458173,0.007620429452881864,15,58
main__glasses__all_available,additive,THUAS::THUAS_S001,161,122.63921698439644,0.007585953620629113,0.14932023744254258,0.012443353120211968,16,8
main__glasses__all_available,additive,KNUST::KNUST_S013,144,111.69230984335991,0.006908823320035278,0.07710136471834911,0.006425113726529137,17,74
main__glasses__all_available,additive,RISE::RISE_S009,135,110.11712188064853,0.006811388721847799,0.12723512165964856,0.010602926804970788,18,18
main__glasses__all_available,additive,MPI::MPI_S210,144,97.58344323518038,0.006036107313189686,0.06233910188962349,0.00519492515746866,19,92
main__glasses__all_available,additive,MPI::MPI_S205,144,90.94299722245333,0.005625356847624922,0.06023041620358312,0.005019201350298628,20,97
main__glasses__all_available,additive,TUM::TUM_S004,144,86.0676455501039,0.00532378780160431,0.19681095872251944,0.016400913226876736,21,3
