run_id,model_role,fitted_decile,observations,observed_mean,fitted_mean,observed_to_fitted_ratio,zero_fraction,pearson_mean,pearson_sd
main__glasses__all_available,additive,10,1659,578.4804985190367,465.7541184305057,1.2420298084929349,0.2796865581675708,5.072768179289936,120.29222279383958
main__glasses__all_available,additive,9,1659,263.21406161789247,336.8155496625741,0.7814783547896869,0.27124773960216997,-3.9348500599573275,52.655852386936516
main__glasses__all_available,additive,7,1659,168.71674795242407,184.2728880497321,0.9155809611389512,0.29475587703435807,-1.1462805830373337,54.85192763612581
main__glasses__all_available,additive,8,1659,196.9962718085343,244.7174394855346,0.8049948226929649,0.25316455696202533,-3.057253032808529,54.3632006154186
main__glasses__all_available,additive,6,1660,142.64795935245522,155.2269169615268,0.9189640697934541,0.25301204819277107,-0.9338108290540561,39.616595227587695
main__glasses__all_available,additive,5,1660,129.56130107988304,135.36192910323302,0.957147271306054,0.2849397590361446,-0.5303984839342063,55.81927837831563
main__glasses__all_available,additive,2,1660,102.71681756308622,77.04374742656817,1.3332271727953982,0.2933734939759036,2.860714879793917,43.86589405553957
main__glasses__all_available,additive,3,1660,80.17599770885288,99.35892995104767,0.8069329827560957,0.26867469879518074,-1.8048394337176588,27.914792236440054
main__glasses__all_available,additive,4,1660,122.78056802709986,120.49501171293609,1.0189680575292928,0.33433734939759036,0.22897201150898813,66.60616604163918
main__glasses__all_available,additive,1,1660,89.04931201603105,55.30755450970131,1.6100750214947799,0.2969879518072289,4.500594056100495,32.59943176675844
main__chest__all_available,additive,10,1835,525.4444842191868,480.6169711143903,1.0932707661172607,0.288283378746594,1.557041823478903,117.0934472740581
main__chest__all_available,additive,8,1835,195.6983003391174,257.83909295872616,0.7589939062128332,0.288283378746594,-3.8441395282822413,45.180901321776474
main__chest__all_available,additive,7,1835,205.1096781314471,205.72836592371758,0.9969926957350166,0.2888283378746594,-0.06613310920902428,97.60152296517317
main__chest__all_available,additive,9,1835,328.83829172982195,328.4497647116783,1.0011829115435193,0.29155313351498635,-0.17498457281843444,82.36830553884568
main__chest__all_available,additive,5,1835,98.17461926567206,143.49780619892402,0.6841541474827662,0.3013623978201635,-3.8102175292400684,33.657883694732256
main__chest__all_available,additive,6,1835,176.0449139233237,165.48701407952186,1.063798962731471,0.2653950953678474,0.8480580870067311,62.842055185326075
main__chest__all_available,additive,2,1836,122.86974735843252,85.6155771191552,1.4351330855064954,0.2995642701525055,3.9856597519202386,43.93235766876427
main__chest__all_available,additive,4,1835,90.42953978826279,116.27865419818244,0.7776968215863329,0.3193460490463215,-2.2888470919096053,40.772133651847085
main__chest__all_available,additive,1,1836,88.79262203058019,59.75524781393468,1.4859384786933159,0.29901960784313725,3.9614036450165786,39.980344966801226
main__chest__all_available,additive,3,1835,108.94344033822473,97.11326918782586,1.1218182772481713,0.2664850136239782,1.1635448903866275,48.04509407871604
main__glasses__paired_common,additive,9,1284,276.85142380710903,357.7259848487464,0.7739203623247197,0.25934579439252337,-4.355298709406965,58.86030985878015
main__glasses__paired_common,additive,10,1284,650.6700390815452,517.6612166463964,1.2569418340760194,0.279595015576324,5.8001429564086715,126.49841220221111
main__glasses__paired_common,additive,7,1284,180.78629701930302,213.30668149602207,0.8475416510695399,0.3014018691588785,-2.2578026362973604,63.78376747957769
main__glasses__paired_common,additive,6,1284,135.11710344556712,167.08050563815942,0.8086946046128544,0.25934579439252337,-2.4498563656487495,42.028627363926525
main__glasses__paired_common,additive,8,1284,250.3064378750043,284.5483777264829,0.8796621505099809,0.2772585669781931,-2.1002173911941395,48.1544387060854
main__glasses__paired_common,additive,5,1284,85.2436476953872,131.17151680544757,0.6498640083717246,0.32320872274143303,-3.956699065657142,36.49287461653679
main__glasses__paired_common,additive,3,1284,102.562079405794,89.691425254776,1.1434992711338663,0.2749221183800623,1.482068475371388,45.89924423174761
main__glasses__paired_common,additive,2,1285,102.68514918636824,72.0561517396767,1.4250712355184814,0.32217898832684827,3.6605664432272835,36.564884211182104
main__glasses__paired_common,additive,4,1284,129.15629815443341,113.23920937843418,1.1405616381761012,0.31931464174454827,1.4843605115603486,69.12221749781759
main__glasses__paired_common,additive,1,1285,86.65033779862118,53.59734050405527,1.6166909959285212,0.29027237354085605,4.493212837648413,32.91375495194897
main__chest__paired_common,additive,10,1284,661.300517710603,590.2441131767434,1.1203847746171123,0.279595015576324,2.6312373340761033,123.68887449294229
main__chest__paired_common,additive,8,1284,209.44850543205192,301.09146602586236,0.6956308267271224,0.2757009345794392,-5.267776970439162,50.003737551926214
main__chest__paired_common,additive,7,1284,199.5513614828546,226.1740770584454,0.8822910391772649,0.3014018691588785,-1.8144225201967372,103.26715378361297
main__chest__paired_common,additive,9,1284,440.03138727075043,408.5479601612283,1.0770617655197632,0.3052959501557632,1.67407492947937,93.02977485664108
main__chest__paired_common,additive,6,1284,118.9074257890811,156.22121091423028,0.7611477666394773,0.3115264797507788,-3.0111219524822457,37.04567022555918
main__chest__paired_common,additive,5,1284,97.51986827757301,129.38417299363005,0.7537233188666298,0.3146417445482866,-2.771179541395022,42.6736182076071
main__chest__paired_common,additive,2,1285,92.84618068966391,73.97831055020082,1.2550459722469545,0.2809338521400778,2.1382020255067453,39.926403024077835
main__chest__paired_common,additive,4,1284,120.31367109629171,104.2446258079143,1.1541474696066052,0.3045171339563863,1.6663808089858851,59.88435999629316
main__chest__paired_common,additive,3,1284,96.18511113461113,90.7116300456789,1.060339353246943,0.2897196261682243,0.595693191143442,38.096093496479504
main__chest__paired_common,additive,1,1285,99.48421546507508,55.03998610328561,1.807489836178145,0.29961089494163423,5.960891728251343,41.074542458801815
gap_timing_unaware__glasses__all_available,additive,10,1632,567.7189168702266,460.2658244842562,1.233458768107268,0.2849264705882353,4.869819455988322,124.1759542935056
gap_timing_unaware__glasses__all_available,additive,9,1633,257.78441053179694,335.2548200867496,0.7689208180961973,0.2694427434170239,-4.1780385235890884,51.58868395069345
gap_timing_unaware__glasses__all_available,additive,7,1633,173.97846385682894,185.49326523422545,0.9379233452877301,0.28413962033067974,-0.8433155950465578,55.88582615217134
gap_timing_unaware__glasses__all_available,additive,8,1633,205.43422957367596,244.64783193892333,0.8397140818520022,0.2541334966319657,-2.5612507300771723,57.24423035395548
