placement,model_id,model_label,heterogeneity_architecture,analysis_scale,loss_basis,weighting,scale_label,overall_r_squared,site_partial_r_squared_conditional_on_category,category_partial_r_squared_conditional_on_site,interaction_partial_r_squared_conditional_on_additive,site_shapley_r_squared,category_shapley_r_squared,interaction_r_squared,site_shapley_share_percent,category_shapley_share_percent,interaction_share_percent,intercept_loss,site_only_loss,category_only_loss,additive_loss,full_heterogeneity_loss,full_loss,r_squared_formula,allocation_definition,full_converged,full_rank,full_coefficients,warning_count,inferential_role
Near-eye,quasi_tweedie_log,"Quasi-Tweedie, log link",full_literal,melEDI (lx),squared_error,participant_hour_weighted,participant-hour-weighted squared error on model response scale,0.12853739658816876,0.026551577147442718,0.10474236145619276,0.01768783344888103,0.01662454210547257,0.09622101444349969,0.015691840039196554,12.933622857429787,74.85838129411465,12.207995848455601,1129867.2956804286,1119640.5913981376,1029707.1404518689,1002366.7918728885,984637.0950035516,984637.0950035516,geo_medi_1h ~ site * light_source,hierarchy-respecting allocation: site and category main effects are averaged over both entry orders; the interaction enters only after both main effects,TRUE,63,63,0,descriptive in-sample point estimate; no cluster-bootstrap interval; not a quasi-likelihood effect test
Near-eye,quasi_tweedie_log,"Quasi-Tweedie, log link",full_literal,melEDI (lx),squared_error,participant_balanced,participant-balanced squared error on model response scale,0.1278567196418302,0.025640479709269748,0.10332302066489929,0.018766718710364838,0.01607395877528804,0.09510245871035644,0.016680302156185708,12.571852946264086,74.38205749120618,13.046089562529728,1083380.8639468257,1073892.25207359,988274.2875375139,962934.4607207152,944863.3405598527,944863.3405598527,geo_medi_1h ~ site * light_source,hierarchy-respecting allocation: site and category main effects are averaged over both entry orders; the interaction enters only after both main effects,TRUE,63,63,0,descriptive in-sample point estimate; no cluster-bootstrap interval; not a quasi-likelihood effect test
Near-eye,quasi_tweedie_log,"Quasi-Tweedie, log link",full_literal,melEDI (lx),model_deviance,model-defined observation weighting,working quasi-Tweedie deviance,0.521754852854069,0.05143981880302628,0.46172881510071617,0.05151194047811014,0.04530333323129275,0.45047825058010177,0.02597326904267439,8.68287721397845,86.33906289820312,4.978059887818413,805945.1933905121,754958.5048328751,428409.72771320445,406372.4089461834,385439.3776046014,385439.3776046014,geo_medi_1h ~ site * light_source,hierarchy-respecting allocation: site and category main effects are averaged over both entry orders; the interaction enters only after both main effects,TRUE,63,63,0,descriptive in-sample point estimate; no cluster-bootstrap interval; not a quasi-likelihood effect test
Near-eye,gaussian_identity_raw,"Gaussian, identity link",full_literal,melEDI (lx),squared_error,participant_hour_weighted,participant-hour-weighted squared error on model response scale,0.12853739658817342,0.007118095293926707,0.08686984488065541,0.036914435900465725,0.007769168069557049,0.08736564040758306,0.03340258811103327,6.04428615778568,67.96904459446743,25.98666924774685,1129867.2956804356,1119640.5913981344,1029707.1404518663,1022377.5869012931,984637.0950035525,984637.0950035525,geo_medi_1h ~ site * light_source,hierarchy-respecting allocation: site and category main effects are averaged over both entry orders; the interaction enters only after both main effects,TRUE,63,63,0,descriptive in-sample point estimate; no cluster-bootstrap interval; not a quasi-likelihood effect test
Near-eye,gaussian_identity_raw,"Gaussian, identity link",full_literal,melEDI (lx),squared_error,participant_balanced,participant-balanced squared error on model response scale,0.12785671964182777,0.006991221890304655,0.08616060800332781,0.03719482614175762,0.007567909518985179,0.08659640945404377,0.03369240066879878,5.919054970427514,67.72925951536311,26.35168551420934,1083380.863946832,1073892.2520735904,988274.2875375245,981365.0427048668,944863.3405598608,944863.3405598608,geo_medi_1h ~ site * light_source,hierarchy-respecting allocation: site and category main effects are averaged over both entry orders; the interaction enters only after both main effects,TRUE,63,63,0,descriptive in-sample point estimate; no cluster-bootstrap interval; not a quasi-likelihood effect test
Near-eye,gaussian_identity_raw,"Gaussian, identity link",full_literal,melEDI (lx),model_deviance,model-defined observation weighting,Gaussian deviance on model response scale,0.12853739658817231,0.007118095293802251,0.08686984488092864,0.03691443590036514,0.007769168069402462,0.08736564040783103,0.03340258811093881,6.044286157665466,67.96904459466094,25.986669247673582,20264169948.02835,20080754006.729218,18467797563.999763,18336342021.072563,17659466298.888508,17659466298.888508,geo_medi_1h ~ site * light_source,hierarchy-respecting allocation: site and category main effects are averaged over both entry orders; the interaction enters only after both main effects,TRUE,63,63,0,descriptive in-sample point estimate; no cluster-bootstrap interval; not a quasi-likelihood effect test
Near-eye,gaussian_log10_response,Gaussian on log10(melEDI + 0.1),full_literal,log10(melEDI + 0.1 lx),squared_error,participant_hour_weighted,participant-hour-weighted squared error on model response scale,0.6132549763875952,0.025688882270533342,0.5879065575673732,0.04680198540296765,0.013064624847079324,0.5812011859394628,0.018989165601053185,2.130374045072909,94.77317075567056,3.0964551992565448,2.0267673041824086,1.9954910809366686,0.8440104746039944,0.8223287888867954,0.7838421689128755,0.7838421689128755,log10(geo_medi_1h + 0.1) ~ site * light_source,hierarchy-respecting allocation: site and category main effects are averaged over both entry orders; the interaction enters only after both main effects,TRUE,63,63,0,descriptive in-sample point estimate; no cluster-bootstrap interval; not a quasi-likelihood effect test
Near-eye,gaussian_log10_response,Gaussian on log10(melEDI + 0.1),full_literal,log10(melEDI + 0.1 lx),squared_error,participant_balanced,participant-balanced squared error on model response scale,0.604636101737096,0.02740562391432322,0.5770555530093529,0.049217550046573355,0.014269175801366564,0.5699007904382599,0.020466135497469458,2.3599609352421687,94.25517080454792,3.384868260209909,2.026512531130118,1.9924242538980341,0.866429824144309,0.8426847742356569,0.8012098941862281,0.8012098941862281,log10(geo_medi_1h + 0.1) ~ site * light_source,hierarchy-respecting allocation: site and category main effects are averaged over both entry orders; the interaction enters only after both main effects,TRUE,63,63,0,descriptive in-sample point estimate; no cluster-bootstrap interval; not a quasi-likelihood effect test
Near-eye,gaussian_log10_response,Gaussian on log10(melEDI + 0.1),full_literal,log10(melEDI + 0.1 lx),model_deviance,model-defined observation weighting,Gaussian deviance on model response scale,0.6132549763875874,0.025688882270460844,0.587906557567387,0.04680198540297298,0.013064624847034615,0.5812011859394969,0.018989165601055805,2.130374045065645,94.77317075567733,3.0964551992570106,36350.071600510186,35789.132536599995,15137.32786202136,14748.466828684526,14058.209299452203,14058.209299452203,log10(geo_medi_1h + 0.1) ~ site * light_source,hierarchy-respecting allocation: site and category main effects are averaged over both entry orders; the interaction enters only after both main effects,TRUE,63,63,0,descriptive in-sample point estimate; no cluster-bootstrap interval; not a quasi-likelihood effect test
Chest,quasi_tweedie_log,"Quasi-Tweedie, log link",full_observed_cell,melEDI (lx),squared_error,participant_hour_weighted,participant-hour-weighted squared error on model response scale,0.15183373818505597,0.036394253430493184,0.1147223546294287,0.03397694917520555,0.020692004281004508,0.10131004205652738,0.029831691847524128,13.628067469289963,66.72432837888114,19.647604151828933,1608520.0065086533,1595293.0490508068,1465617.322403408,1412277.2741397375,1364292.4009749938,1364292.4009749938,geo_medi_1h ~ 0 + site_source_cell,hierarchy-respecting allocation: site and category main effects are averaged over both entry orders; the interaction enters only after both main effects,TRUE,55,55,0,descriptive in-sample point estimate; no cluster-bootstrap interval; not a quasi-likelihood effect test
