"path","before_bytes","before_sha256","after_bytes","after_sha256","prospective_fixture"
"/Users/zauner/.codex/worktrees/82ab/ZaunerEtAl_bioRxiv_2026/audit/analyses/brown_adherence/main_linkage_b_amendment/stage2/implementation_and_reconciliation.qmd",15681,"f7c062cf1d6973b513110d7f6f519d3b74373d616acb0beca0d4f3fd70974f13",15689,"d8477c9c0080a4bc97ec1a88834514ace40fa40f657d68a3be3a4e2f3c9c4041","/private/tmp/ba018-completion-audit.ekpsA4/internal_recovery_audit_output_001/prospective_implementation_and_reconciliation.qmd"
"/Users/zauner/.codex/worktrees/82ab/ZaunerEtAl_bioRxiv_2026/audit/analyses/brown_adherence/13_cross_state_association_results_amendment.qmd",35524,"f8a2728ebdb984d41dccd451059f063ecd2bc3eecceb0c94d106373af4088238",35551,"ee890d1a0d63dceab217ac2e8b9e32d7f4553ce821d4253154485cb353ea1086","/private/tmp/ba018-completion-audit.ekpsA4/internal_recovery_audit_output_001/prospective_13_cross_state_association_results_amendment.qmd"
"/Users/zauner/.codex/worktrees/82ab/ZaunerEtAl_bioRxiv_2026/audit/analyses/brown_adherence/14_cross_state_association_preparation_and_provenance.qmd",17093,"221cce4a29389e91b8ffe06342f0aa237a196c6a5ad1fe21e39841a54cf407a7",17182,"4009da02e9239835a0b3a74381472034bc5d478f5b7491e73e80ce88548c4272","/private/tmp/ba018-completion-audit.ekpsA4/internal_recovery_audit_output_001/prospective_14_cross_state_association_preparation_and_provenance.qmd"
